new,accumulated,year,label,paper_id,dataName
0,190,2010,All,218,PA
0,148,2010,All,219,PA
0,186,2010,All,220,PA
0,178,2010,All,221,PA
0,161,2010,All,222,PA
0,168,2010,All,223,PA
0,125,2010,All,224,PA
0,100,2010,All,225,PA
0,96,2010,All,226,PA
0,204,2010,All,227,PA
0,185,2010,All,228,PA
0,191,2010,All,229,PA
0,153,2010,All,230,PA
0,163,2010,All,231,PA
0,177,2010,All,232,PA
0,158,2010,All,233,PA
0,99,2010,All,234,PA
0,191,2010,All,235,PA
0,108,2010,All,236,PA
0,143,2010,All,237,PA
0,113,2010,All,238,PA
0,216,2010,All,239,PA
0,110,2010,All,240,PA
0,135,2010,All,241,PA
0,158,2010,All,242,PA
0,153,2010,All,243,PA
0,138,2010,All,244,PA
0,193,2010,All,245,PA
0,192,2010,All,246,PA
0,126,2010,All,247,PA
0,141,2010,All,248,PA
0,108,2010,All,249,PA
0,146,2010,All,250,PA
0,163,2010,All,251,PA
0,130,2010,All,252,PA
0,197,2010,All,253,PA
0,117,2010,All,254,PA
0,112,2010,All,255,PA
0,125,2010,All,256,PA
0,183,2010,All,257,PA
0,121,2010,All,258,PA
0,156,2010,All,259,PA
0,131,2010,All,260,PA
0,152,2010,All,261,PA
0,134,2010,All,262,PA
0,239,2010,All,263,PA
0,176,2010,All,264,PA
0,150,2010,All,265,PA
0,137,2010,All,266,PA
0,101,2010,All,267,PA
0,151,2010,All,268,PA
0,120,2010,All,269,PA
0,170,2010,All,270,PA
0,176,2010,All,271,PA
0,151,2010,All,272,PA
0,132,2010,All,273,PA
0,111,2010,All,274,PA
0,150,2010,All,275,PA
0,187,2010,All,276,PA
0,134,2010,All,277,PA
0,167,2010,All,278,PA
0,180,2010,All,279,PA
0,145,2010,All,280,PA
0,103,2010,All,281,PA
0,97,2010,All,282,PA
0,100,2010,All,283,PA
0,153,2010,All,284,PA
0,181,2010,All,285,PA
0,159,2010,All,286,PA
0,126,2010,All,287,PA
0,124,2010,All,288,PA
0,153,2010,All,289,PA
0,114,2010,All,290,PA
0,133,2010,All,291,PA
0,121,2010,All,292,PA
0,176,2010,All,293,PA
0,145,2010,All,294,PA
0,113,2010,All,295,PA
0,139,2010,All,296,PA
0,152,2010,All,297,PA
0,156,2010,All,298,PA
0,135,2010,All,299,PA
0,145,2010,All,300,PA
0,113,2010,All,301,PA
0,159,2010,All,302,PA
0,124,2010,All,303,PA
0,110,2010,All,304,PA
0,125,2010,All,305,PA
0,116,2010,All,306,PA
0,138,2010,All,307,PA
0,143,2010,All,308,PA
0,126,2010,All,309,PA
0,162,2010,All,310,PA
0,143,2010,All,311,PA
0,112,2010,All,312,PA
0,147,2010,All,313,PA
0,131,2010,All,314,PA
0,121,2010,All,315,PA
0,88,2010,All,316,PA
0,147,2010,All,317,PA
0,140,2010,All,318,PA
0,118,2010,All,319,PA
0,145,2010,All,320,PA
0,144,2010,All,321,PA
0,158,2010,All,322,PA
0,128,2010,All,323,PA
0,115,2010,All,324,PA
0,95,2010,All,325,PA
0,124,2010,All,326,PA
0,139,2010,All,327,PA
0,124,2010,All,328,PA
0,110,2010,All,329,PA
0,144,2010,All,330,PA
0,190,2010,All,331,PA
0,147,2010,All,332,PA
0,118,2010,All,333,PA
0,180,2010,All,334,PA
0,151,2010,All,335,PA
0,144,2010,All,336,PA
0,135,2010,All,337,PA
0,144,2010,All,338,PA
0,120,2010,All,339,PA
0,172,2010,All,340,PA
0,111,2010,All,341,PA
0,124,2010,All,342,PA
0,94,2010,All,343,PA
0,96,2010,All,344,PA
0,102,2010,All,345,PA
0,109,2010,All,346,PA
0,126,2010,All,347,PA
0,119,2010,All,348,PA
0,147,2010,All,349,PA
0,106,2010,All,350,PA
0,89,2010,All,351,PA
0,119,2010,All,352,PA
0,139,2010,All,353,PA
0,125,2010,All,354,PA
0,144,2010,All,355,PA
0,161,2010,All,356,PA
0,124,2010,All,357,PA
0,107,2010,All,358,PA
0,82,2010,All,359,PA
0,142,2010,All,360,PA
0,85,2010,All,361,PA
0,131,2010,All,362,PA
0,118,2010,All,363,PA
0,137,2010,All,364,PA
0,145,2010,All,365,PA
0,119,2010,All,366,PA
0,132,2010,All,367,PA
0,129,2010,All,368,PA
0,155,2010,All,369,PA
0,122,2010,All,370,PA
0,158,2010,All,371,PA
0,163,2010,All,372,PA
0,85,2010,All,373,PA
0,160,2010,All,374,PA
0,92,2010,All,375,PA
0,104,2010,All,376,PA
0,113,2010,All,377,PA
0,122,2010,All,378,PA
0,154,2010,All,379,PA
0,228,2010,All,380,PA
0,143,2010,All,381,PA
0,158,2010,All,382,PA
0,103,2010,All,383,PA
0,122,2010,All,384,PA
0,145,2010,All,385,PA
0,145,2010,All,386,PA
0,152,2010,All,387,PA
0,109,2010,All,388,PA
0,141,2010,All,389,PA
0,150,2010,All,390,PA
0,128,2010,All,391,PA
0,212,2010,All,392,PA
0,130,2010,All,393,PA
0,140,2010,All,394,PA
0,137,2010,All,395,PA
0,135,2010,All,396,PA
0,159,2010,All,397,PA
0,125,2010,All,398,PA
0,154,2010,All,399,PA
0,92,2010,All,400,PA
0,85,2010,All,401,PA
0,102,2010,All,402,PA
0,119,2010,All,403,PA
0,145,2010,All,404,PA
0,129,2010,All,405,PA
0,89,2010,All,406,PA
0,92,2010,All,407,PA
0,81,2010,All,408,PA
0,90,2010,All,409,PA
0,143,2010,All,410,PA
0,115,2010,All,411,PA
0,91,2010,All,412,PA
0,101,2010,All,413,PA
0,109,2010,All,414,PA
0,111,2010,All,415,PA
0,78,2010,All,416,PA
0,117,2010,All,417,PA
0,188,2010,All,418,PA
0,96,2010,All,419,PA
0,74,2010,All,420,PA
0,117,2010,All,421,PA
0,107,2010,All,422,PA
0,122,2010,All,423,PA
0,121,2010,All,424,PA
0,105,2010,All,425,PA
0,92,2010,All,426,PA
0,125,2010,All,427,PA
0,105,2010,All,428,PA
0,93,2010,All,429,PA
0,126,2010,All,430,PA
0,119,2010,All,431,PA
0,110,2010,All,432,PA
0,155,2010,All,433,PA
0,87,2010,All,434,PA
0,118,2010,All,435,PA
0,118,2010,All,436,PA
0,91,2010,All,437,PA
0,118,2010,All,438,PA
0,166,2010,All,439,PA
0,122,2010,All,440,PA
0,97,2010,All,441,PA
0,128,2010,All,442,PA
0,143,2010,All,443,PA
0,130,2010,All,444,PA
0,112,2010,All,445,PA
0,122,2010,All,446,PA
0,104,2010,All,447,PA
