age,n,group
18,852,middle
19,866,middle
20,916,middle
21,956,middle
22,999,middle
23,1035,middle
24,1036,middle
25,1036,middle
26,1036,middle
27,1036,middle
28,1036,middle
29,1036,middle
30,1036,middle
31,1036,middle
32,1036,middle
33,1036,middle
34,1036,middle
35,1036,middle
36,1036,middle
37,1036,middle
38,1036,middle
39,1036,middle
40,1036,middle
41,1036,middle
42,1036,middle
43,1036,middle
44,1036,middle
45,1036,middle
46,1036,middle
47,1036,middle
48,1036,middle
49,1036,middle
50,1036,middle
0,2,middle
1,13,middle
2,22,middle
3,31,middle
4,37,middle
5,48,middle
6,59,middle
7,64,middle
8,84,middle
9,110,middle
10,132,middle
11,164,middle
12,181,middle
13,205,middle
14,223,middle
15,243,middle
16,249,middle
17,258,middle
18,265,middle
19,270,middle
20,272,middle
21,275,middle
22,275,middle
23,275,middle
24,275,middle
25,275,middle
26,275,middle
27,275,middle
28,275,middle
29,275,middle
30,275,middle
31,275,middle
32,275,middle
33,275,middle
34,275,middle
35,275,middle
36,275,middle
37,275,middle
38,275,middle
39,275,middle
40,275,middle
41,275,middle
42,275,middle
43,275,middle
44,275,middle
45,275,middle
46,275,middle
47,275,middle
48,275,middle
49,275,middle
50,275,middle
0,2,middle
1,3,middle
2,4,middle
3,9,middle
4,13,middle
5,16,middle
6,24,middle
7,45,middle
8,60,middle
9,67,middle
10,74,middle
11,79,middle
12,89,middle
13,102,middle
14,109,middle
15,126,middle
16,140,middle
17,151,middle
18,160,middle
19,160,middle
20,163,middle
21,164,middle
22,164,middle
23,165,middle
24,165,middle
25,165,middle
26,168,middle
27,169,middle
28,170,middle
29,171,middle
30,171,middle
31,172,middle
32,172,middle
33,172,middle
34,172,middle
35,172,middle
36,172,middle
37,172,middle
38,172,middle
39,172,middle
40,172,middle
41,172,middle
42,172,middle
43,172,middle
44,172,middle
45,172,middle
46,172,middle
47,172,middle
48,172,middle
49,172,middle
50,172,middle
0,1,top
1,30,top
2,54,top
3,76,top
4,114,top
5,136,top
6,161,top
7,179,top
8,195,top
9,225,top
10,244,top
11,264,top
12,289,top
13,305,top
14,327,top
15,333,top
